kind,label,g3_alone,g4_alone,g3_add,g4_add,nb,randleg,sig_lnwb_add,sig_lnwc_add,sig_ns_add,sig_lns8_add
pair,dQ1+rQ4,3.7550,3.2679,22.1105,28.5728,90,1,2.7223e-04,8.0907e-04,3.7944e-03,9.4019e-03
pair,rQ4+xdQ2,6.9973,7.2642,21.4747,29.9680,90,1,2.6313e-04,7.7438e-04,3.8199e-03,9.2630e-03
pair,rQ4+xrQ4,6.7224,6.2317,20.2084,24.5189,90,1,3.1655e-04,8.3369e-04,4.4204e-03,9.8323e-03
pair,rQ1+rQ4,3.7632,3.0564,19.7070,23.8732,90,1,2.6720e-04,7.6220e-04,4.8215e-03,1.0331e-02
pair,rQ4+xrQ2,4.6115,4.1527,19.3856,24.0089,90,1,2.4496e-04,6.8454e-04,5.2493e-03,9.9641e-03
pair,xrQ1+xrQ3,3.7753,3.1891,19.3129,28.4021,90,1,1.9643e-04,4.2402e-04,6.1367e-03,8.7617e-03
pair,dQ1+xrQ1,8.0735,5.8208,19.1390,24.4611,90,1,3.2912e-04,4.3337e-04,5.6442e-03,9.1873e-03
pair,dQ2+rQ4,4.9745,4.6714,18.8321,26.7358,90,1,2.9060e-04,8.0101e-04,4.1840e-03,9.1239e-03
pair,rQ4+xrQ3,4.2818,3.8762,18.1155,25.3482,90,1,2.8483e-04,6.6076e-04,4.4230e-03,8.9029e-03
pair,xdQ1+xrQ3,3.3231,3.4209,17.8427,26.5551,90,1,2.1297e-04,6.7718e-04,5.0388e-03,8.8866e-03
pair,rQ2+rQ4,3.8715,2.9916,17.5305,21.3846,90,1,2.3723e-04,7.1458e-04,4.3310e-03,9.9587e-03
pair,rQ3+rQ4,3.2017,2.7199,17.2003,22.1985,90,1,2.7551e-04,6.9048e-04,5.0347e-03,9.9451e-03
pair,xdQ3+xrQ1,6.9332,7.9066,17.1611,28.6280,90,1,3.2962e-04,4.1834e-04,5.3667e-03,7.6339e-03
pair,xdQ4+xrQ1,5.8338,6.6631,17.1595,24.0221,90,1,2.6436e-04,4.5238e-04,6.4173e-03,8.5466e-03
pair,rQ4+xdQ3,7.7434,9.6886,17.0682,28.0150,90,1,3.0339e-04,8.3485e-04,3.8950e-03,7.9570e-03
pair,xdQ1+xrQ1,6.7041,4.9199,16.5946,21.6076,90,1,2.9984e-04,4.6290e-04,6.3756e-03,9.0861e-03
pair,xdQ4+xrQ3,4.9915,6.9428,16.2671,25.1957,90,1,1.9034e-04,6.9917e-04,4.8903e-03,8.6235e-03
pair,dQ3+rQ4,5.7016,6.3025,16.1694,27.6348,90,1,3.0509e-04,8.4387e-04,4.0937e-03,7.4093e-03
pair,dQ4+xrQ1,5.1787,5.6655,15.2233,22.2239,90,1,2.7013e-04,4.6915e-04,6.3816e-03,8.2893e-03
